G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
6680/000,Interest Receivable,Posting,Expense,Income Statement,Both,true,false,0,,
6700/000,Due from Shareholders,Posting,Expense,Income Statement,Both,true,false,0,,
6720/000,Disposals-Clearing,Posting,Expense,Income Statement,Both,true,false,0,,
6730/000,Drs-Income Control,Posting,Expense,Income Statement,Both,true,false,0,,
6760/000,Due from Zamara Actuaries and Co Nigeria,Posting,Expense,Income Statement,Both,true,false,0,,
6790/000,Bonus(General provision),Posting,Expense,Income Statement,Both,true,false,0,,
6800/000,Deposits-Sundry,Posting,Expense,Income Statement,Both,true,false,0,,
6801/000,KCB USD CLIENT,Posting,Expense,Income Statement,Both,true,false,0,,
6804/000,KCB USD OFFICE,Posting,Expense,Income Statement,Both,true,false,0,,
6820/000,MPESA ACCOUNT,Posting,Expense,Income Statement,Both,true,false,0,,
6821/000,NCBA Office Bank Account,Posting,Expense,Income Statement,Both,true,false,0,,
6822/000,SBM USD $,Posting,Expense,Income Statement,Both,true,false,0,,
6823/000,PETTY CASH - OFFICE,Posting,Expense,Income Statement,Both,true,false,0,,
6824/000,NCBA Client Bank Account,Posting,Expense,Income Statement,Both,true,false,0,,
6825/000,CFCSTANBIC-OFFICE A/C,Posting,Expense,Income Statement,Both,true,false,0,,
6826/000,CFCSTANBIC-CLIENT A/C,Posting,Expense,Income Statement,Both,true,false,0,,
6827/000,SBM Bank Account-Client Account,Posting,Expense,Income Statement,Both,true,false,0,,
6828/000,NCBA Bank-US$ OFFICE,Posting,Expense,Income Statement,Both,true,false,0,,
6829/000,NCBA Bank-US$ CLIENT,Posting,Expense,Income Statement,Both,true,false,0,,
6830/000,UBA Client Account,Posting,Expense,Income Statement,Both,true,false,0,,
6832/000,SBM BANK FIXED DEPOSIT ACCOUNT,Posting,Expense,Income Statement,Both,true,false,0,,
6833/000,CFC STANBIC(US$) -0000230847(CLIENT),Posting,Expense,Income Statement,Both,true,false,0,,
6839/000,SBM BANK BID BONDS,Posting,Expense,Income Statement,Both,true,false,0,,
6840/000,Premium Finance A/C,Posting,Expense,Income Statement,Both,true,false,0,,
6843/000,MAYFAIR CIB BANK KES CLIENT,Posting,Expense,Income Statement,Both,true,false,0,,
6850/000,FAULU MICROFINANCE BANK,Posting,Expense,Income Statement,Both,true,false,0,,
6860/000,Absa Bank Kenya-Office Account,Posting,Expense,Income Statement,Both,true,false,0,,
6880/000,KCB BANK,Posting,Expense,Income Statement,Both,true,false,0,,
6890/000,MAYFAIR CIB BANK USD CLIENT,Posting,Expense,Income Statement,Both,true,false,0,,
6900/000,SIDIAN BANK,Posting,Expense,Income Statement,Both,true,false,0,,
6920/000,GULF AFRICAN BANK,Posting,Expense,Income Statement,Both,true,false,0,,
6930/000,GUARANTY TRUST BANK,Posting,Expense,Income Statement,Both,true,false,0,,
6940/000,FREDRICK MUCHINA,Posting,Expense,Income Statement,Both,true,false,0,,
6950/000,LIZA NYAGA,Posting,Expense,Income Statement,Both,true,false,0,,
6960/000,ALEEM AKBARALI,Posting,Expense,Income Statement,Both,true,false,0,,
6990/000,MWIHAKI KABURA,Posting,Expense,Income Statement,Both,true,false,0,,
7030/000,JAMES OLUBAYI,Posting,Expense,Income Statement,Both,true,false,0,,
7030/001,JAMES OLUBAYI,Posting,Expense,Income Statement,Both,true,false,0,,
7230/000,Premium Received Suspense A/C,Posting,Expense,Income Statement,Both,true,false,0,,
7380/000,Premiums payable,Posting,Expense,Income Statement,Both,true,false,0,,
7381/000,Premiums Receivable(GP),Posting,Expense,Income Statement,Both,true,false,0,,
7400/000,Commissions Payable,Posting,Expense,Income Statement,Both,true,false,0,,
7410/000,CRS-Trade (Operating),Posting,Expense,Income Statement,Both,true,false,0,,
7414/000,Dividend Proposed,Posting,Expense,Income Statement,Both,true,false,0,,
7450/000,VAT Control Account,Posting,Expense,Income Statement,Both,true,false,0,,
7460/000,VAT - Reverse VAT,Posting,Expense,Income Statement,Both,true,false,0,,
7480/000,Prov-Sundries,Posting,Expense,Income Statement,Both,true,false,0,,
7500/000,Leave Pay Provision,Posting,Expense,Income Statement,Both,true,false,0,,
7525/000,DUE TO/FROM ZAMARA HOLDING CO.,Posting,Expense,Income Statement,Both,true,false,0,,
7530/000,A F AFRINET INVESTMENTS LOAN ACCOUNT,Posting,Expense,Income Statement,Both,true,false,0,,
7550/000,Tax Provision-Other,Posting,Expense,Income Statement,Both,true,false,0,,
7600/000,Ord.Share Capital,Posting,Expense,Income Statement,Both,true,false,0,,
7620/000,Revaluation Reserve,Posting,Expense,Income Statement,Both,true,false,0,,
7640/000,Distr.Reser-Retained Inc,Posting,Expense,Income Statement,Both,true,false,0,,
1020/000,Insurance Commission - All,Posting,Expense,Income Statement,Both,true,false,0,,
1040/000,Interest Income,Posting,Expense,Income Statement,Both,true,false,0,,
1080/000,Other Income,Posting,Expense,Income Statement,Both,true,false,0,,
1100/000,Insurance Commission - General,Posting,Expense,Income Statement,Both,true,false,0,,
1570/000,Insurance Commission - Medical,Posting,Expense,Income Statement,Both,true,false,0,,
1580/000,Insurance Commission - Retail Solutions,Posting,Expense,Income Statement,Both,true,false,0,,
1600/000,Insurance Commission - Annuities,Posting,Expense,Income Statement,Both,true,false,0,,
3000/000,Emol.Pack-Salaries,Posting,Expense,Income Statement,Both,true,false,0,,
3010/000,Emol.Pack-Other,Posting,Expense,Income Statement,Both,true,false,0,,
3020/000,Emol.Pack-Med.Contribut.,Posting,Expense,Income Statement,Both,true,false,0,,
3030/000,Emol.Pack-Pens.Contribut.,Posting,Expense,Income Statement,Both,true,false,0,,
3080/000,Co.Contrib-Life Assurance,Posting,Expense,Income Statement,Both,true,false,0,,
3200/000,Temporary Staff-General,Posting,Expense,Income Statement,Both,true,false,0,,
3240/000,Welfare-General,Posting,Expense,Income Statement,Both,true,false,0,,
3260/000,Training EXTERNAL,Posting,Expense,Income Statement,Both,true,false,0,,
3290/000,Other Staff Costs,Posting,Expense,Income Statement,Both,true,false,0,,
3350/000,Commission Leads,Posting,Expense,Income Statement,Both,true,false,0,,
3380/000,Prem-Cleaning,Posting,Expense,Income Statement,Both,true,false,0,,
3390/000,Prem-Electricity,Posting,Expense,Income Statement,Both,true,false,0,,
3450/000,Prem-Security,Posting,Expense,Income Statement,Both,true,false,0,,
3490/000,Prem-Rates,Posting,Expense,Income Statement,Both,true,false,0,,
4050/000,Prem-General,Posting,Expense,Income Statement,Both,true,false,0,,
3520/000,Prem-Rental(EXTERNAL),Posting,Expense,Income Statement,Both,true,false,0,,
3530/000,Prem-Parking(EXTERNAL),Posting,Expense,Income Statement,Both,true,false,0,,
3540/000,Printing-General,Posting,Expense,Income Statement,Both,true,false,0,,
3570/000,Stationery-General,Posting,Expense,Income Statement,Both,true,false,0,,
3610/000,Prof.Fees-Audit Fees,Posting,Expense,Income Statement,Both,true,false,0,,
3650/000,Prof.Fees-Other,Posting,Expense,Income Statement,Both,true,false,0,,
3690/000,Trav. Accom.,Posting,Expense,Income Statement,Both,true,false,0,,
3720/000,Bus.Advert-General,Posting,Expense,Income Statement,Both,true,false,0,,
3760/000,Sponsorships-General,Posting,Expense,Income Statement,Both,true,false,0,,
3790/000,Telephone-Variable,Posting,Expense,Income Statement,Both,true,false,0,,
3800/000,Courier Services Cost,Posting,Expense,Income Statement,Both,true,false,0,,
3810/000,Entertainment-(IN TOWN),Posting,Expense,Income Statement,Both,true,false,0,,
3820/000,Fin Charges Paid,Posting,Expense,Income Statement,Both,true,false,0,,
3870/000,Subscriptions General,Posting,Expense,Income Statement,Both,true,false,0,,
3880/000,Bank Charges,Posting,Expense,Income Statement,Both,true,false,0,,
3930/000,Books & Periodicals,Posting,Expense,Income Statement,Both,true,false,0,,
3950/000,CLIENT GIFTS AND REWARDS,Posting,Expense,Income Statement,Both,true,false,0,,
3980/000,Donations-Charitable,Posting,Expense,Income Statement,Both,true,false,0,,
3990/000,Summary:Gen Exp Other,Posting,Expense,Income Statement,Both,true,false,0,,
4000/000,VALUE ADDS,Posting,Expense,Income Statement,Both,true,false,0,,
4040/000,Insurance-P.I.,Posting,Expense,Income Statement,Both,true,false,0,,
4080/000,PC Supplies,Posting,Expense,Income Statement,Both,true,false,0,,
4120/000,MV - Leasing Costs (non personnel),Posting,Expense,Income Statement,Both,true,false,0,,
4190/000,MV - Fuel Costs (non personnel),Posting,Expense,Income Statement,Both,true,false,0,,
3340/000,MV-Leasing Costs,Posting,Expense,Income Statement,Both,true,false,0,,
3360/000,MV-Fuel Costs,Posting,Expense,Income Statement,Both,true,false,0,,
4190/001,Commissions - Lead,Posting,Expense,Income Statement,Both,true,false,0,,
4320/000,STAFF WELFARE,Posting,Expense,Income Statement,Both,true,false,0,,
4020/000,Equip maintenance,Posting,Expense,Income Statement,Both,true,false,0,,
4070/000,ENTERTAINMENT LUNCH,Posting,Expense,Income Statement,Both,true,false,0,,
4090/000,Christmas Party,Posting,Expense,Income Statement,Both,true,false,0,,
4110/000,Conference Attended by Us,Posting,Expense,Income Statement,Both,true,false,0,,
4650/200,Tax Expense,Posting,Expense,Income Statement,Both,true,false,0,,
