G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
6821/000,CBA CURRENT 2,Posting,,Balance Sheet,Both,true,false,0,,
B10120,Share Capital,Posting,,Balance Sheet,Both,true,false,0,,
B15110,Distr.Reser-Retained Inc,Posting,,Balance Sheet,Both,true,false,0,,
B40110,Investment in subsidiary - RWANDA,Posting,,Balance Sheet,Both,true,false,0,,
B55111,Investment in ZAAC Kenya,Posting,,Balance Sheet,Both,true,false,0,,
B55112,Investment in ZARIB Kenya,Posting,,Balance Sheet,Both,true,false,0,,
B55113,Investment in ZAAC Nigeria,Posting,,Balance Sheet,Both,true,false,0,,
B55114,INVESTMENT IN DRC,Posting,,Balance Sheet,Both,true,false,0,,
B55115,INVESTMENT IN MENA,Posting,,Balance Sheet,Both,true,false,0,,
B55117,DUE TO/FRO ZAMARA MENA,Posting,,Balance Sheet,Both,true,false,0,,
B55118,Investment in associate-Uganda,Posting,,Balance Sheet,Both,true,false,0,,
B55210,Investment in Malawi,Posting,,Balance Sheet,Both,true,false,0,,
B55340,Interest Receivable,Posting,,Balance Sheet,Both,true,false,0,,
B55480,Drs-Income Control,Posting,,Balance Sheet,Both,true,false,0,,
B55540,Due from/(to) ESOP,Posting,,Balance Sheet,Both,true,false,0,,
B55570,Due to/from ZAAC,Posting,,Balance Sheet,Both,true,false,0,,
B60090,Equity Bank,Posting,,Balance Sheet,Both,true,false,0,,
B60110,KCB BANK,Posting,,Balance Sheet,Both,true,false,0,,
B60180,Bank account NCBA,Posting,,Balance Sheet,Both,true,false,0,,
B65130,Due from/to AFRIB Transactional,Posting,,Balance Sheet,Both,true,false,0,,
B65150,Fixed Deposit Account,Posting,,Balance Sheet,Both,true,false,0,,
B65290,Withholding IncomeTax,Posting,,Balance Sheet,Both,true,false,0,,
B70111,Due to ZAAC Shareholders,Posting,,Balance Sheet,Both,true,false,0,,
B70112,Due to ZARIB Shareholders,Posting,,Balance Sheet,Both,true,false,0,,
B70113,Due to ZAMARA NIGERIA Shareholders,Posting,,Balance Sheet,Both,true,false,0,,
B70160,DUE TO /From DRC,Posting,,Balance Sheet,Both,true,false,0,,
B70280,Prov-Sundries,Posting,,Balance Sheet,Both,true,false,0,,
B70340,CRS-Trade (Operating),Posting,,Balance Sheet,Both,true,false,0,,
B75100,Tax liability,Posting,,Balance Sheet,Both,true,false,0,,
B80111,Dividend Payable,Posting,,Balance Sheet,Both,true,false,0,,
B80170,VAT Control Account,Posting,,Balance Sheet,Both,true,false,0,,
I10121,Interest Income,Posting,Income,Income Statement,Both,true,false,0,,
I25182,Prof.Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25291,Entertainment-(IN TOWN),Posting,Income,Income Statement,Both,true,false,0,,
I25360,Bank Charges,Posting,Income,Income Statement,Both,true,false,0,,
I25367,Summary:Gen Exp Other,Posting,Income,Income Statement,Both,true,false,0,,
